company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Bluetab;Data Engineer;4.1;24000;34000;30000;EUR;yearly;Barcelona
Altostratus Cloud Consulting;Data Engineer;3.5;32000;32000;32000;EUR;yearly;Barcelona
Paack;Data Engineer;2.8;38000;50000;50000;EUR;yearly;Barcelona
Contentsquare;Data Engineer;3.5;67000;73000;72000;EUR;yearly;Barcelona
Mad Collective;Data Engineer;3.3;47000;48000;48000;EUR;yearly;Barcelona
SEIDOR;Data Engineer;3.9;37000;55000;45000;EUR;yearly;Barcelona
Chartboost;Data Engineer;3;50000;66000;50000;EUR;yearly;Barcelona
Sage;Data Engineer;3.5;48000;57000;56000;EUR;yearly;Barcelona
Socialpoint;Data Engineer;4.1;40000;40000;40000;EUR;yearly;Barcelona
WIRIS;Data Engineer;3.7;37000;49000;40000;EUR;yearly;Barcelona
LIFULL Connect;Data Engineer;2.8;35000;40000;39000;EUR;yearly;Barcelona
MediaMarktSaturn;Data Engineer;3.4;40000;60000;50000;EUR;yearly;Barcelona
ALTEN;Data Engineer;3.2;18000;40000;25000;EUR;yearly;Barcelona
Gameloft;Data Engineer;3.8;29000;50000;48000;EUR;yearly;Barcelona
T-Systems;Data Engineer;3.7;24000;43000;29000;EUR;yearly;Barcelona
knowmad mood;Data Engineer;4.1;38000;44000;42000;EUR;yearly;Barcelona
Thoughtworks;Data Engineer;3.9;59000;128000;94000;EUR;yearly;Barcelona
Nnergix;Data Engineer;5;42000;44000;43000;EUR;yearly;Barcelona
Nestlé;Data Engineer;4.1;24000;60000;42000;EUR;yearly;Barcelona
Barcelona Supercomputing Center;Data Engineer;3.9;30000;33000;32000;EUR;yearly;Barcelona
ERNI;Data Engineer;4;34000;50000;42000;EUR;yearly;Barcelona
The Keenfolks;Data Engineer;2.2;34000;41000;38000;EUR;yearly;Barcelona
Prenomics;Data Engineer;4;22000;30000;26000;EUR;yearly;Barcelona
Glovo;Data Engineer;3.5;69000;69000;69000;EUR;yearly;Barcelona
WIND Mobility;Data Engineer;3.5;52000;60000;56000;EUR;yearly;Barcelona
ShopFully;Data Engineer;3.2;28000;38000;33000;EUR;yearly;Barcelona
Azerion;Data Engineer;2.8;40000;52000;46000;EUR;yearly;Barcelona
HolaLuz;Data Engineer;2.8;42000;45000;44000;EUR;yearly;Barcelona
Strands;Data Engineer;3.3;40000;48000;44000;EUR;yearly;Barcelona
Freelancer;Data Engineer;4.2;40000;45000;43000;EUR;yearly;Barcelona
Reby;Data Engineer;3.2;25000;32000;29000;EUR;yearly;Barcelona
SWORD GROUP;Data Engineer;3.6;50000;55000;53000;EUR;yearly;Barcelona
Kabel;Data Engineer;4.2;32000;52000;42000;EUR;yearly;Barcelona
Bitpanda;Data Engineer;3.8;65000;80000;73000;EUR;yearly;Barcelona
Driven by Data;Data Engineer;-0.10000000149011612;40000;42000;41000;EUR;yearly;Barcelona
Koa Health Digital Solutions;Data Engineer;3.2;50000;70000;60000;EUR;yearly;Barcelona
Typeform;Data Engineer;3.4;55000;63000;59000;EUR;yearly;Barcelona
InnoIT;Data Engineer;4.2;42000;50000;46000;EUR;yearly;Barcelona
AWWG;Data Engineer;2.9;36000;36000;36000;EUR;yearly;Barcelona
PepsiCo;Data Engineer;3.9;53000;55000;54000;EUR;yearly;Barcelona
Aktana;Data Engineer;3.2;47000;47000;47000;EUR;yearly;Barcelona
Grupo Godó;Data Engineer;2.7;35000;70000;53000;EUR;yearly;Barcelona
Globant;Data Engineer;3.9;50000;51000;51000;EUR;yearly;Barcelona
Qustodio;Data Engineer;4.5;40000;57000;48000;EUR;yearly;Barcelona
8wires;Data Engineer;5;30000;33000;32000;EUR;yearly;Barcelona
Mango;Data Engineer;3.5;35000;45000;40000;EUR;yearly;Barcelona
Pearson Ham Group;Data Engineer;4.4;44000;45000;45000;EUR;yearly;Barcelona
GoTrendier;Data Engineer;4.1;35000;50000;43000;EUR;yearly;Barcelona
Manomano;Data Engineer;3.8;40000;53000;47000;EUR;yearly;Barcelona
Veepee;Data Engineer;3.5;40000;49000;45000;EUR;yearly;Barcelona
