company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
ENERTRAG SE;Data Scientist;3.8;58000;63000;60000;EUR;yearly;Berlin
Tripadvisor;Data Scientist;3.8;43000;46000;45000;EUR;yearly;Berlin
Selfapy;Data Scientist;3.5;53000;58000;55000;EUR;yearly;Berlin
Jazz;Data Scientist;4.3;67000;73000;70000;EUR;yearly;Berlin
Wankel SuperTec;Data Scientist;4;3000;3000;3000;EUR;monthly;Berlin
Flink;Data Scientist;2.9;57000;62000;60000;EUR;yearly;Berlin
BASF;Data Scientist;4.1;62000;67000;64000;EUR;yearly;Berlin
Zalando;Data Scientist;3.6;2000;2000;2000;EUR;monthly;Berlin
Topia;Data Scientist;3;17000;19000;18000;EUR;yearly;Berlin
Test;Data Scientist;4;77000;82000;80000;EUR;yearly;Berlin
Intel Corporation;Data Scientist;3.9;57000;62000;60000;EUR;yearly;Berlin
Spiced;Data Scientist;3.6;53000;57000;55000;EUR;yearly;Berlin
BARMER;Data Scientist;4.2;53000;58000;55000;EUR;yearly;Berlin
Peregrine Technologies;Data Scientist;-0.10000000149011612;53000;57000;55000;EUR;yearly;Berlin
Deutsches Forschungszentrum für Künstliche Intelligenz;Data Scientist;4.2;48000;52000;50000;EUR;yearly;Berlin
Dojo Madness;Data Scientist;3.7;35000;37000;36000;EUR;yearly;Berlin
HeyJobs;Data Scientist;4.1;68000;73000;71000;EUR;yearly;Berlin
Helmholtz-Zentrum Potsdam;Data Scientist;4.2;5000;6000;6000;EUR;monthly;Berlin
SAP;Data Scientist;4.2;13;13;13;EUR;hourly;Berlin
upday;Data Scientist;3.8;61000;65000;63000;EUR;yearly;Berlin
Capgemini;Data Scientist;3.8;55000;61000;58000;EUR;yearly;Berlin
Thünen Institute;Data Scientist;4.1;2000;3000;2000;EUR;monthly;Berlin
Kompetenzzentrum Wasser Berlin;Data Scientist;4.9;435;470;453;EUR;monthly;Berlin
Universität Potsdam;Data Scientist;3.6;2000;2000;2000;EUR;monthly;Berlin
Phiture;Data Scientist;3.8;46000;50000;48000;EUR;yearly;Berlin
Retresco;Data Scientist;3.4;18;20;19;EUR;hourly;Berlin
Ooooo;Data Scientist;3.9;67000;73000;70000;EUR;yearly;Berlin
Bloomberg;Data Scientist;4;86000;94000;90000;EUR;yearly;Berlin
Deutsche Bank;Data Scientist;3.8;58000;62000;60000;EUR;yearly;Berlin
Outfittery;Data Scientist;2.4;53000;57000;55000;EUR;yearly;Berlin
TU Darmstadt;Data Scientist;4.3;50000;54000;52000;EUR;yearly;Berlin
EY;Data Scientist;3.7;12;13;12;EUR;hourly;Berlin
Awin;Data Scientist;4.4;73000;78000;76000;EUR;yearly;Berlin
Movinga;Data Scientist;3.4;38000;42000;40000;EUR;yearly;Berlin
Kolibri Games;Data Scientist;4;56000;60000;58000;EUR;yearly;Berlin
DataScientest;Data Scientist;4.1;48000;52000;50000;EUR;yearly;Berlin
AdvancePierre Foods;Data Scientist;3.2;58000;63000;60000;EUR;yearly;Berlin
Bundesdruckerei Gruppe;Data Scientist;3.5;70000;75000;72000;EUR;yearly;Berlin
TD Reply;Data Scientist;3.8;2000;2000;2000;EUR;monthly;Berlin
Hyrd;Data Scientist;4.1;58000;63000;60000;EUR;yearly;Berlin
JetBrains;Data Scientist;4.3;69000;75000;72000;EUR;yearly;Berlin
Smart Steel Technologies;Data Scientist;3.5;76000;82000;79000;EUR;yearly;Berlin
PHD;Data Scientist;3.9;62000;68000;65000;EUR;yearly;Berlin
Capgemini Invent;Data Scientist;3.8;60000;65000;62000;EUR;yearly;Berlin
Blinkist;Data Scientist;4.4;71000;78000;74000;EUR;yearly;Berlin
PlusDental;Data Scientist;3;2000;2000;2000;EUR;monthly;Berlin
BeeBI Consulting;Data Scientist;5;97000;104000;100000;EUR;yearly;Berlin
Epcot Electric;Data Scientist;4.7;96000;105000;100000;EUR;yearly;Berlin
BRIDGE Management Technologies;Data Scientist;5;57000;63000;60000;EUR;yearly;Berlin
Deutsche Post;Data Scientist;3.2;3000;3000;3000;EUR;monthly;Berlin
Jodel;Data Scientist;3;58000;62000;60000;EUR;yearly;Berlin
CHRISTUS Health;Data Scientist;3.5;1000;1000;1000;EUR;monthly;Berlin
Totaljobs;Data Scientist;3;76000;81000;79000;EUR;yearly;Berlin
Fachhochschule Potsdam;Data Scientist;4.2;4000;4000;4000;EUR;monthly;Berlin
Musikhaus Thomann;Data Scientist;3;48000;52000;50000;EUR;yearly;Berlin
CISPA – Helmholtz Center for Information Security;Data Scientist;4.7;12;13;13;EUR;hourly;Berlin
Silence Therapeutics;Data Scientist;4.4;75000;80000;77000;EUR;yearly;Berlin
Synfioo;Data Scientist;4.6;43000;47000;45000;EUR;yearly;Berlin
BSH Hausgeräte;Data Scientist;3.9;57000;63000;60000;EUR;yearly;Berlin
Lindera;Data Scientist;3;48000;52000;50000;EUR;yearly;Berlin
Page Group (London);Data Scientist;3.7;2000;2000;2000;EUR;monthly;Berlin
NOW GMBH;Data Scientist;3.7;55000;60000;58000;EUR;yearly;Berlin
Wayfair;Data Scientist;2.9;13;14;13;EUR;hourly;Berlin
Selbständig;Data Scientist;4.5;53000;57000;55000;EUR;yearly;Berlin
CompuGroup Medical;Data Scientist;3.4;56000;61000;58000;EUR;yearly;Berlin
Oda;Data Scientist;3.8;74000;80000;77000;EUR;yearly;Berlin
Mister Spex;Data Scientist;3;40000;44000;42000;EUR;yearly;Berlin
Fraunhofer IWKS;Data Scientist;4;48000;52000;50000;EUR;yearly;Berlin
JOEY Restaurants;Data Scientist;3.7;10;10;10;EUR;hourly;Berlin
Hypatos;Data Scientist;3.3;58000;62000;60000;EUR;yearly;Berlin
Audible;Data Scientist;3.4;68000;74000;71000;EUR;yearly;Berlin
Talonic AI;Data Scientist;5;4000;4000;4000;EUR;monthly;Berlin
KIT;Data Scientist;4.2;48000;52000;50000;EUR;yearly;Berlin
Philip Morris International;Data Scientist;4;16;17;16;EUR;hourly;Berlin
Kanzlei Gansel Rechtsanwälte;Data Scientist;3.6;1000;2000;2000;EUR;monthly;Berlin
Joblift;Data Scientist;4.1;43000;47000;45000;EUR;yearly;Berlin
American Automobile Association (AAA);Data Scientist;3.6;48000;52000;50000;EUR;yearly;Berlin
General Logistics Systems;Data Scientist;3.3;60000;64000;62000;EUR;yearly;Berlin
mymoria;Data Scientist;3.2;49000;53000;51000;EUR;yearly;Berlin
Mercedes-Benz Mobility;Data Scientist;4.1;72000;78000;75000;EUR;yearly;Berlin
Seatris;Data Scientist;3;4000;4000;4000;EUR;monthly;Berlin
mymuesli;Data Scientist;3.6;43000;47000;45000;EUR;yearly;Berlin
Inspirisys Solutions Limited;Data Scientist;3.6;63000;68000;65000;EUR;yearly;Berlin
Vodafone;Data Scientist;3.9;79000;87000;83000;EUR;yearly;Berlin
Hasso-Plattner-Institute;Data Scientist;4.3;4000;4000;4000;EUR;monthly;Berlin
Siemens Energy;Data Scientist;4.2;67000;72000;70000;EUR;yearly;Berlin
IBM iX;Data Scientist;3.9;60000;65000;62000;EUR;yearly;Berlin
Mercedes-Benz Group;Data Scientist;4.1;1000;1000;1000;EUR;monthly;Berlin
Lana Labs;Data Scientist;3.7;67000;72000;69000;EUR;yearly;Berlin
Berliner Wasserbetriebe;Data Scientist;3.9;53000;57000;55000;EUR;yearly;Berlin
ZIEGERT;Data Scientist;2.7;960;1000;1000;EUR;monthly;Berlin
Creditsafe;Data Scientist;3.6;66000;71000;68000;EUR;yearly;Berlin
Statice;Data Scientist;2.9;68000;73000;70000;EUR;yearly;Berlin
SellerX;Data Scientist;3.2;86000;93000;90000;EUR;yearly;Berlin
i2x;Data Scientist;4.3;69000;74000;72000;EUR;yearly;Berlin
